MANLAN	MANLAN perfSONAR	Internet2 perfSONAR	lhcone.test.manlan.internet2.edu	NULL	NULL
WIX	WIX PerfSONAR	Internet2 WIX perfSONAR	lhcone.test.wix.internet2.edu	NULL	NULL
OSG GOC	IPAS_OSG	IPAS_OSG	gk.phys.sinica.edu.tw	NULL	NULL
ISU HEP	isuhep	isuhep	turner.physics.iastate.edu	0	NULL
FermiGrid	ITB_INSTALL_TEST	ITB_INSTALL_TEST	cmsitb1.fnal.gov	0	ITB_Test
FermiGrid	ITB_INSTALL_TEST_2	ITB_INSTALL_TEST_2	cmsitb4.fnal.gov	0	NULL
FermiGrid	ITB_INSTALL_TEST_3	ITB_INSTALL_TEST_3	cms-xen9.fnal.gov	NULL	NULL
FermiGrid	ITB-ReSS	ITB-ReSS	osg-ress-4.fnal.gov	NULL	NULL
MWT2 ATLAS IU	IU_ATLAS_Tier2	IU_ATLAS_Tier2	atlas.iu.edu	NULL	NULL
IU UITS	IU_COBRA_ITB	IU_COBRA_ITB	cobra.uits.indiana.edu	NULL	NULL
IU UITS	IU_iuatlas	IU_iuatlas	iuatlas.physics.indiana.edu	NULL	NULL
IU UITS	IU_OSG	IU_OSG	m3.quarry.teragrid.iu.edu	0	US-MWT2
IU UITS	IUB_ITB	IUB_ITB	bandicoot.uits.indiana.edu	NULL	NULL
IU UITS	IUB_ITB_AG	IUB_ITB_AG	knopfler.ucs.indiana.edu	NULL	NULL
IU UITS	IUB_ITB2	IUB_ITB2	itb-zero.uits.indiana.edu	NULL	NULL
IU UITS	IUB-VTB	IUB-VTB	tb10.grid.iu.edu	NULL	NULL
IU UITS	IUPUI-ITB	IUPUI-ITB	feynman.uits.iupui.edu	0	NULL
IU UITS	OSG_JIRA	jira	jira.opensciencegrid.org	NULL	NULL
Kennesaw State University	Kennesaw_Dell_Nodes	Kennesaw_Dell_Nodes	Prometheus.kennesaw.edu	0	NULL
T3_KR_KISTI	T3_KR_KISTI	KISTI_CMS_SQUID	cms-squid.sdfarm.kr	NULL	NULL
